iter	F1	Logloss
109	0.6631917829	0.6577543853
110	0.6669721968	0.657441605
111	0.667888787	0.657196041
112	0.6693117656	0.6564524906
113	0.668398533	0.6562907194
114	0.668092256	0.655798619
115	0.6679914399	0.6557540223
116	0.6692084795	0.6556001469
117	0.6692084795	0.6555876329
118	0.6678854357	0.655072236
119	0.669503115	0.6543642839
120	0.6706222425	0.6540924018
121	0.6744008548	0.6537627834
122	0.674783138	0.6533685574
123	0.6749961908	0.6531700787
124	0.6739559605	0.6527182987
125	0.6753640777	0.652665526
126	0.6770628312	0.6523336339
127	0.6793881569	0.6519018526
128	0.6845780206	0.6512919915
129	0.6842664239	0.651133522
130	0.6845780206	0.650668311
131	0.6837322024	0.6503365098
132	0.6841308298	0.6501397645
133	0.6841946207	0.6498984533
134	0.6871406959	0.6494860178
135	0.686884003	0.6490983881
136	0.6858353511	0.6489589919
137	0.688077564	0.6487639207
138	0.6859216694	0.6486361073
139	0.6859216694	0.6486361063
140	0.6886735312	0.6484015302
141	0.6907715582	0.6478455899
142	0.6907715582	0.6478453666
143	0.6918429003	0.6476335479
144	0.6932246869	0.6476101519
145	0.6897897898	0.6471333858
146	0.6933132983	0.6465191014
147	0.6957437209	0.64582271
148	0.6951951952	0.6456531557
149	0.6951951952	0.6456195317
150	0.6959002853	0.645209124
151	0.6959002853	0.6452086762
152	0.6960180316	0.6450053924
153	0.6959398496	0.6442413103
154	0.6966461122	0.6438909564
155	0.697618691	0.6434445942
156	0.697583671	0.6430089545
157	0.6982551143	0.6426214355
158	0.6994289149	0.6422966241
159	0.7010371261	0.6416177192
160	0.7016699263	0.6412484934
161	0.7077385424	0.640412354
162	0.7083896143	0.6397211372
163	0.710451342	0.6392978487
164	0.7122507123	0.6386540241
165	0.7129574085	0.6384829116
166	0.7151442308	0.6382711779
167	0.7142427885	0.6375938351
168	0.7132783196	0.6373122829
169	0.7142428786	0.6371932228
170	0.7140500825	0.6371364138
171	0.7127675498	0.6364957223
172	0.7135362015	0.6359743886
173	0.7148834429	0.6355991615
174	0.7144992526	0.6355545435
175	0.7170542636	0.6353240265
176	0.7174366617	0.6348955702
177	0.7208817396	0.6342069429
178	0.7222139563	0.6335461827
179	0.7230494342	0.6333847231
180	0.7217753947	0.6329809522
181	0.7235627048	0.6326517397
182	0.7229166667	0.6324004093
183	0.722007722	0.6320870355
184	0.7268951194	0.631429205
185	0.7271105826	0.6308388132
186	0.7278921641	0.6302730845
187	0.7290217552	0.6299123603
188	0.7278106509	0.6296968066
189	0.7301822492	0.6289037629
190	0.7321613237	0.6286058871
191	0.739162598	0.6276132631
192	0.7379014355	0.6272281467
193	0.7380846982	0.6266526329
194	0.7400503033	0.6259509621
195	0.7407517017	0.625559557
196	0.7412670219	0.6253937246
197	0.7440141886	0.6247956199
198	0.7504445762	0.6232170012
199	0.7513697616	0.6230660918
200	0.7531814146	0.6223132125
201	0.7550748259	0.6217194806
202	0.7548730065	0.6214687686
203	0.7559427137	0.6206199739
204	0.7569485512	0.6203468987
205	0.7607471094	0.6196935754
206	0.7617216388	0.6190299687
207	0.7649851632	0.6186801136
208	0.7656667657	0.6180368398
209	0.7688651218	0.6173756644
210	0.7695056581	0.6169050155
211	0.7699167658	0.6160863602
212	0.7713137926	0.6155802747
213	0.7726328287	0.615089392
214	0.773037037	0.6146788846
215	0.7728552378	0.6139573276
216	0.7707562528	0.6136874936
217	0.7716021936	0.6133590185
218	0.771322986	0.6130248564
219	0.7731989327	0.612617222
220	0.7742318539	0.6120557887
221	0.7773003408	0.6113068176
222	0.7789130757	0.610439155
223	0.7813981043	0.6095898482
224	0.7808564232	0.6091125927
225	0.7817589577	0.6086462519
226	0.7802359882	0.6078920996
227	0.7816329544	0.6072158277
228	0.7832250443	0.6064690886
229	0.7825188247	0.6058143692
230	0.7839314725	0.6052449889
231	0.7858726171	0.6044167205
232	0.7881744272	0.6037237349
233	0.7888740938	0.6032802751
234	0.7889314101	0.6026319287
235	0.7899778924	0.6021166101
236	0.790862196	0.6018692168
237	0.7920967266	0.6012839389
238	0.7924639388	0.6008403663
239	0.7936975409	0.6003228798
240	0.7942344462	0.600131013
241	0.7959994117	0.5996069481
242	0.798820059	0.5993554519
243	0.7979411765	0.5988179384
244	0.7984701383	0.5984808472
245	0.7997065297	0.5975988397
246	0.8035871802	0.5967981908
247	0.8049926579	0.5962591624
248	0.803760282	0.5957926329
249	0.8034137728	0.5951310575
250	0.8041146216	0.5947484283
251	0.8035951083	0.5945527208
252	0.804648426	0.5941346884
253	0.8037630457	0.5933493354
254	0.8051757095	0.592898132
255	0.8067647059	0.592383534
256	0.8078223791	0.5918734859
257	0.8095797825	0.5912223912
258	0.8099222075	0.5909947891
259	0.8108346828	0.5901567246
260	0.8108426635	0.5896177663
261	0.811367987	0.5893704917
262	0.8136090336	0.5888221016
263	0.8148911124	0.5884102386
264	0.8139876579	0.5880245361
265	0.8141723023	0.5875602043
266	0.8143255541	0.5871789973
267	0.8205808639	0.5863055538
268	0.8215755438	0.5855611505
269	0.8236328984	0.5850478291
270	0.8236155875	0.5844127481
271	0.824340176	0.583954611
272	0.8235810415	0.5832487454
273	0.8236155875	0.5827935953
274	0.8258895885	0.5824106583
275	0.828760088	0.5818500785
276	0.8273033543	0.5814981328
277	0.8305209098	0.5808139718
278	0.831012751	0.5801532383
279	0.8340675477	0.5791679496
280	0.832063306	0.5786269663
281	0.8327235475	0.5782760526
282	0.833992674	0.5780653564
283	0.8355282411	0.5777133476
284	0.8352389329	0.5775037512
285	0.836970851	0.5769302235
286	0.837168401	0.5766047598
287	0.838558453	0.5759318865
288	0.8363156351	0.5756298989
289	0.8383040936	0.575052913
290	0.8388701888	0.5745770463
291	0.8385302298	0.5743011698
292	0.8400646204	0.5737132252
293	0.8409157617	0.5733839786
294	0.8402645114	0.5729327717
295	0.8409157617	0.5724967441
296	0.8416568743	0.5720431422
297	0.8415957759	0.5716115088
298	0.8433558228	0.5711200171
299	0.842506972	0.5705257567
300	0.8455547392	0.5697457664
301	0.8448757536	0.5694655419
302	0.8458939327	0.5690704098
303	0.8473877851	0.5686942783
304	0.8477269384	0.5682046197
305	0.8486454653	0.5675631336
306	0.8500736377	0.5671158635
307	0.8486096807	0.5663850696
308	0.8503751655	0.566131285
309	0.8505071292	0.5659452775
310	0.8506388603	0.5655389918
311	0.8512202293	0.5653154195
312	0.8523480053	0.5646911044
313	0.8533884542	0.56401728
314	0.85499114	0.5635755408
315	0.8549505681	0.5630970869
316	0.8560460653	0.5627478446
317	0.8581120944	0.5621995104
318	0.8595016954	0.5618637239
319	0.8591217212	0.561202554
320	0.8603417796	0.5608655674
321	0.859246172	0.5602127246
322	0.8600058945	0.5598787468
323	0.8615158205	0.5593649624
324	0.8607557712	0.5588940616
325	0.8623988227	0.5585172473
326	0.8623071271	0.5581414042
327	0.8633558625	0.5575988475
328	0.8630217519	0.5574239496
329	0.8613803231	0.5570433134
330	0.8628831207	0.5565204179
331	0.8628370457	0.5561967181
332	0.864476386	0.5559225941
333	0.8653789874	0.5554253048
334	0.8649992687	0.5550169382
335	0.865544989	0.5546899807
336	0.86620851	0.5541528953
337	0.8671349137	0.5537000847
338	0.8669201521	0.5530668641
339	0.8656629148	0.5526092409
340	0.8661118411	0.552165946
341	0.8666082896	0.5518314567
342	0.8661325564	0.5513029875
343	0.8660154541	0.5506159255
344	0.8672695449	0.550060917
345	0.8696160023	0.5497110543
346	0.8688548505	0.5494874695
347	0.8702245553	0.5490440872
348	0.868969538	0.5484431888
349	0.8693496646	0.5480549976
350	0.8710994459	0.5475465411
351	0.8713680829	0.5468766878
352	0.8721387957	0.546706474
353	0.8736672995	0.5462480775
354	0.875418913	0.5457499053
355	0.874763085	0.5451284347
356	0.874763085	0.5446697915
357	0.8748176247	0.5443517202
358	0.8779918272	0.5440573534
359	0.8776642336	0.5437549433
360	0.8791369004	0.5434181284
361	0.8802919708	0.5429078156
362	0.8800700321	0.5425178605
363	0.8795796234	0.5423043699
364	0.8818208345	0.5418445366
365	0.8828592268	0.54153586
366	0.884469143	0.5410401311
367	0.8846941762	0.5406760474
368	0.8878463568	0.5401834609
369	0.8858981861	0.5394527685
370	0.8853465926	0.539152276
371	0.8851213096	0.5388850416
372	0.885447107	0.5387039149
373	0.8866130212	0.5385342549
374	0.8879146573	0.5381998438
375	0.8887587822	0.5377863945
376	0.8887914657	0.537370022
377	0.8885972587	0.5368080952
378	0.8888240444	0.5363266337
379	0.8920421299	0.5359839712
380	0.8915556856	0.5354918871
381	0.8909064285	0.5348868017
382	0.8912311521	0.5346386214
383	0.8916227299	0.5344210195
384	0.8916898725	0.5342291318
385	0.8913649025	0.5339257543
386	0.8912311521	0.5332595891
387	0.8905152225	0.532792511
388	0.8910021946	0.5324413764
389	0.8912311521	0.5321251301
390	0.8925014646	0.5318272803
391	0.8944208522	0.5310434069
392	0.8950454412	0.5305669519
393	0.8956929388	0.530136325
394	0.8956228956	0.5296644787
395	0.8955529549	0.5292282623
396	0.8949291247	0.5289126415
397	0.8977023269	0.5284267163
398	0.8993701479	0.5280405975
399	0.8981860737	0.5273421119
400	0.8971662285	0.5270375347
401	0.8983472283	0.526570701
402	0.8978636231	0.5262357575
403	0.898813882	0.525878091
404	0.898024872	0.5250208346
405	0.8981860737	0.5247290262
406	0.9002632349	0.5244162885
407	0.8996195493	0.5238923051
408	0.9013754756	0.5233943947
409	0.9007320644	0.5228937727
410	0.8998535871	0.5226647075
411	0.8994585102	0.5222782437
412	0.8996195493	0.5219815218
413	0.9000146391	0.5212728643
414	0.9018458834	0.5205043276
415	0.9016849817	0.520123621
416	0.902489019	0.5197704654
417	0.9040855176	0.5194632204
418	0.9040855176	0.5191462361
419	0.902980713	0.5189445662
420	0.9041697147	0.5183940133
421	0.9039250146	0.5180542596
422	0.9037730331	0.5178341337
423	0.903528034	0.5176470543
424	0.9024140454	0.5172302548
425	0.9043223443	0.5168862656
426	0.9044063827	0.5166670573
427	0.9043223443	0.5164606615
428	0.9044828597	0.5163837813
429	0.903528034	0.5162531816
430	0.9040011725	0.5156009278
431	0.9048106448	0.5149761568
432	0.9044139141	0.5147607904
433	0.904017531	0.5144909554
434	0.9048106448	0.5140579984
435	0.9051308288	0.5136934477
436	0.9047340736	0.5132245461
437	0.9052139623	0.5129887886
438	0.9067251462	0.5124677396
439	0.9074452555	0.5118823605
440	0.908560595	0.5114343535
441	0.9080040822	0.5110533633
442	0.9075287607	0.5106833117
443	0.9084025047	0.5103156166
444	0.9095141111	0.5098525294
445	0.9088	0.5095792816
446	0.9088	0.5091772972
447	0.9115031346	0.5084067515
448	0.9116618076	0.50827261
449	0.9107064822	0.5079697131
450	0.9110237367	0.5077811233
451	0.9119019837	0.5072868057
452	0.9112632959	0.5070300837
453	0.9119790149	0.506712459
454	0.9132593458	0.5062273842
455	0.9143024276	0.5056669063
456	0.9135008767	0.5054642227
457	0.9130244116	0.5051680081
458	0.9130180969	0.5045621728
459	0.9154867902	0.5040416521
460	0.9142106799	0.5034643764
461	0.9148439778	0.5031212508
462	0.9150860811	0.5029896288
463	0.9141274238	0.5025029384
464	0.9151603499	0.5019613059
465	0.9152443472	0.5015890735
466	0.9166788268	0.5012832876
467	0.9178701678	0.5008368062
468	0.9174686498	0.500616624
469	0.9178701678	0.5000096466
470	0.9186588921	0.4995515647
471	0.9188164991	0.4991026629
472	0.9183435404	0.4988879398
473	0.9194464676	0.4986459853
474	0.9198484407	0.4985238581
475	0.9201631702	0.4981515448
476	0.9202507654	0.4976376524
477	0.9194630872	0.4972893754
478	0.9194630872	0.4969089563
479	0.9189031505	0.4964020984
480	0.9189031505	0.4959335569
481	0.9187454413	0.4955469943
482	0.919218431	0.4951984663
483	0.9204263396	0.4946588785
484	0.9208108502	0.4941964142
485	0.9197782964	0.4938087939
486	0.9213515875	0.4932797614
487	0.9207228213	0.4929066563
488	0.9200757024	0.4926564328
489	0.922403734	0.4919421657
490	0.9218431029	0.4915477873
491	0.922403734	0.4913681053
492	0.9233688513	0.4911229604
493	0.9235928842	0.4904887119
494	0.9254341164	0.4899821651
495	0.9249380557	0.4897230281
496	0.9246245808	0.4891164349
497	0.9250947246	0.4889521816
498	0.9254079254	0.4888016505
499	0.9250947246	0.4885207811
